FileName,MissingChannels,QuantityMC,OneNeighbor,Quantity1N,ZeroNeighbors,Quantity0N,FinalList4Interpol
2_ASD.csv,"['FT7','C5','TP7','T7']",4,[],0,['T7'],1,"['FT7','C5','TP7']"
29_ASD.csv,"['F8','FT8']",2,[],0,[],0,"['F8', 'FT8']"
24_P.csv,['FPZ'],1,[],0,[],0,['FPZ']
